dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
gsm8k,15,-0.0030627871362940004,0.02,0.8834609494640123,1306,30,0.016937212863706,random
gsm8k,16,0.199081163859111,0.02,0.08509443593670239,1306,30,0.17908116385911102,random
gsm8k,17,0.6477794793261861,0.02,0.021745788667687598,1306,30,0.627779479326186,random
gsm8k,18,-0.139356814701378,0.02,0.17480857580398163,1306,30,0.119356814701378,random
gsm8k,19,0.143185298621745,0.02,0.16590096988259315,1306,30,0.123185298621745,random
gsm8k,20,-0.045941807044410005,0.02,0.7100051046452271,1306,30,0.025941807044410004,random
gsm8k,21,-0.549004594180704,0.02,0.026620724859622257,1306,30,0.529004594180704,random
gsm8k,22,0.199081163859111,0.02,0.08042368555385401,1306,30,0.17908116385911102,random
gsm8k,23,-0.008422664624808,0.02,0.9743236345074017,1306,30,0.011577335375192,random
gsm8k,24,0.45099540581929504,0.02,0.029683511995916286,1306,30,0.430995405819295,random
gsm8k,25,-0.33537519142419603,0.02,0.040556406329760084,1306,30,0.315375191424196,random
gsm8k,26,0.350689127105666,0.02,0.04042879019908117,1306,30,0.330689127105666,random
gsm8k,27,0.25650842266462404,0.02,0.05461970393057682,1306,30,0.23650842266462405,random
gsm8k,28,0.16845329249617103,0.02,0.09354262378764676,1306,30,0.14845329249617104,random
gsm8k,29,-0.339203675344563,0.02,0.03917815211842777,1306,30,0.319203675344563,random
gsm8k,30,0.42266462480857503,0.02,0.03221031138335886,1306,30,0.402664624808575,random
gsm8k,31,-0.31163859111791703,0.02,0.04680959673302706,1306,30,0.291638591117917,random
gsm8k,32,-0.0076569678407350005,0.02,0.96368044920878,1306,30,0.012343032159265,random
gsm8k,33,0.129402756508422,0.02,0.15954568657478305,1306,30,0.109402756508422,random
gsm8k,34,0.049770290964777,0.02,0.7045686574783052,1306,30,0.029770290964777003,random
gsm8k,35,-0.262633996937212,0.02,0.05553854007146504,1306,30,0.24263399693721202,random
gsm8k,36,0.37289433384379705,0.02,0.03769780500255233,1306,30,0.35289433384379704,random
gsm8k,37,0.12098009188361401,0.02,0.21263399693721288,1306,30,0.10098009188361401,random
gsm8k,38,-0.06508422664624801,0.02,0.46500765696784074,1306,30,0.045084226646248005,random
gsm8k,39,-0.016845329249617,0.02,0.9967585502807556,1306,30,0.0031546707503830006,random
gsm8k,40,-0.47473200612557404,0.02,0.027845839714139866,1306,30,0.454732006125574,random
gsm8k,41,-0.32388973966309303,0.02,0.04025012761613068,1306,30,0.303889739663093,random
gsm8k,42,-0.42419601837672205,0.02,0.0318274629913221,1306,30,0.40419601837672203,random
gsm8k,43,0.17381316998468602,0.02,0.09775395610005105,1306,30,0.15381316998468603,random
gsm8k,44,-0.082695252679938,0.02,0.33915262889229203,1306,30,0.062695252679938,random
gsm8k,45,0.605666156202143,0.02,0.020648289943848906,1306,30,0.585666156202143,random
gsm8k,46,0.049770290964777,0.02,0.6656457376212354,1306,30,0.029770290964777003,random
gsm8k,47,-0.005359877488514001,0.02,0.9641398672792241,1306,30,0.014640122511486,random
gsm8k,48,-0.08116385911179101,0.02,0.3332312404287902,1306,30,0.06116385911179101,random
gsm8k,49,-0.064318529862174,0.02,0.5484175599795814,1306,30,0.044318529862173994,random
gsm8k,50,-0.29709035222052005,0.02,0.04920877998979071,1306,30,0.27709035222052003,random
gsm8k,51,0.349923430321592,0.02,0.04132210311383359,1306,30,0.329923430321592,random
gsm8k,52,0.588055130168453,0.02,0.02120980091883614,1306,30,0.568055130168453,random
gsm8k,53,0.00229709035222,0.02,0.9508677896886167,1306,30,0.01770290964778,random
gsm8k,54,-0.441041347626339,0.02,0.031061766207248598,1306,30,0.421041347626339,random
gsm8k,55,0.035222052067381,0.02,0.8401480347115875,1306,30,0.015222052067381,random
gsm8k,56,-0.31163859111791703,0.02,0.04356814701378254,1306,30,0.291638591117917,random
gsm8k,57,0.566615620214395,0.02,0.022026544155181217,1306,30,0.546615620214395,random
gsm8k,58,0.210566615620214,0.02,0.07641653905053598,1306,30,0.190566615620214,random
gsm8k,59,-0.34456355283307805,0.02,0.040377743746809594,1306,30,0.32456355283307803,random
gsm8k,60,0.051301684532924004,0.02,0.6337161817253701,1306,30,0.03130168453292401,random
gsm8k,61,-0.186830015313935,0.02,0.11145992853496682,1306,30,0.16683001531393502,random
gsm8k,62,0.014548238897396001,0.02,0.9809086268504339,1306,30,0.005451761102603999,random
gsm8k,63,0.013016845329249,0.02,0.9556151097498724,1306,30,0.006983154670751,random
gsm8k,64,-0.37136294027565003,0.02,0.037263910158244005,1306,30,0.35136294027565,random
gsm8k,65,-0.141653905053598,0.02,0.1378764675855028,1306,30,0.12165390505359801,random
gsm8k,66,0.41500765696784003,0.02,0.030602348136804493,1306,30,0.39500765696784,random
gsm8k,67,0.31316998468606405,0.02,0.04709035222052067,1306,30,0.29316998468606403,random
gsm8k,68,0.043644716692189,0.02,0.5684022460439,1306,30,0.023644716692189,random
gsm8k,69,0.10183767228177601,0.02,0.2629147524247065,1306,30,0.081837672281776,random
