case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N5000_q0.05_o-0.002,5000,0.05,0.002,0.018000000000000002,0.02,0.049675999999999006,planned_gaussian,300,0.651554,1,0.018431252048067885
N5000_q0.05_o-0.004,5000,0.05,0.004,0.016,0.02,0.049744,direct_betting,300,0.8538893333333334,0,0.012220974694293552
N5000_q0.05_o-0.004,5000,0.05,0.004,0.016,0.02,0.049744,eb_grid,300,0.9232666666666667,0,0.012220974694293552
N5000_q0.05_o-0.004,5000,0.05,0.004,0.016,0.02,0.049744,planned_gaussian,300,0.5727099999999999,0,0.012220974694293552
N5000_q0.05_o-0.01,5000,0.05,0.01,0.01,0.02,0.04990000000000001,direct_betting,300,0.46676266666666666,0,0.012220974694293552
N5000_q0.05_o-0.01,5000,0.05,0.01,0.01,0.02,0.04990000000000001,eb_grid,300,0.6057486666666667,0,0.012220974694293552
N5000_q0.05_o-0.01,5000,0.05,0.01,0.01,0.02,0.04990000000000001,planned_gaussian,300,0.354254,0,0.012220974694293552
N5000_q0.05_o-0.02,5000,0.05,0.02,0.0,0.02,0.05,direct_betting,300,0.2824393333333334,0,0.012220974694293552
N5000_q0.05_o-0.02,5000,0.05,0.02,0.0,0.02,0.05,eb_grid,300,0.38788,0,0.012220974694293552
N5000_q0.05_o-0.02,5000,0.05,0.02,0.0,0.02,0.05,planned_gaussian,300,0.20367666666666667,0,0.012220974694293552
N5000_q0.05_o0,5000,0.05,0.0,0.02,0.02,0.049599999999999006,direct_betting,300,0.9946666666666666,1,0.018431252048067885
N5000_q0.05_o0,5000,0.05,0.0,0.02,0.02,0.049599999999999006,eb_grid,300,1.0,0,0.012220974694293552
N5000_q0.05_o0,5000,0.05,0.0,0.02,0.02,0.049599999999999006,planned_gaussian,300,0.6227753333333333,1,0.018431252048067885
N5000_q0.05_o0.002,5000,0.05,0.001999999999999,0.022,0.02,0.049516,direct_betting,300,0.9477939999999999,1,0.018431252048067885
N5000_q0.05_o0.002,5000,0.05,0.001999999999999,0.022,0.02,0.049516,eb_grid,300,0.9905906666666666,0,0.012220974694293552
N5000_q0.05_o0.002,5000,0.05,0.001999999999999,0.022,0.02,0.049516,planned_gaussian,300,0.6561706666666667,99,0.3863588453159598
