dataset,method,epsilon,runs,cost_fraction,median_fraction,errors,error_rate,census_fraction
hellaswag,fixed_plugin_0.5,0.02,3000,0.5000875503414464,0.5000875503414464,106,0.035333333333333335,0.0
hellaswag,hoeffding_grid,0.01,3000,0.5445206326971341,0.4704955349325862,0,0.0,0.0
hellaswag,hoeffding_grid,0.02,3000,0.6028502305492325,0.5736298371563648,0,0.0,0.0013333333333333333
hellaswag,hoeffding_grid,0.05,3000,0.6647807739450183,0.7164244440553318,0,0.0,0.0
hellaswag,normal_peeking,0.01,3000,0.08513301815210413,0.014183155314305727,300,0.1,0.002
hellaswag,normal_peeking,0.02,3000,0.09955069164769742,0.018560672386622307,329,0.10966666666666666,0.0016666666666666668
hellaswag,normal_peeking,0.05,3000,0.08258676238837331,0.02503939765365085,221,0.07366666666666667,0.0003333333333333333
hellaswag,separate_arm,0.02,3000,0.5704270121986809,0.5186482227280687,0,0.0,0.0013333333333333333
hellaswag,serfling_spending,0.01,3000,0.6156566859277417,0.582384871300998,0,0.0,0.0
hellaswag,serfling_spending,0.02,3000,0.6689730344948345,0.8734022062686044,0,0.0,0.0013333333333333333
hellaswag,serfling_spending,0.05,3000,0.7520086966672503,0.8734022062686044,0,0.0,0.0
mmlu-pro,completion,0.01,3000,0.8768854443705674,0.8740026595744681,0,0.0,0.0
mmlu-pro,completion,0.02,3000,0.8839820201684397,0.8825216090425532,0,0.0,0.0
mmlu-pro,completion,0.05,3000,0.9012356770833333,0.9082446808510638,0,0.0,0.0
mmlu-pro,eb_grid,0.01,3000,0.14259840425531914,0.022481715425531915,1,0.0003333333333333333,0.0
mmlu-pro,eb_grid,0.02,3000,0.14930726396276597,0.024933510638297872,0,0.0,0.0
mmlu-pro,eb_grid,0.05,3000,0.13302185837765956,0.035738031914893616,0,0.0,0.0
mmlu-pro,eb_predictable,0.01,3000,0.14873431959219857,0.014461436170212765,3,0.001,0.0
mmlu-pro,eb_predictable,0.02,3000,0.15990417220744682,0.016373005319148936,0,0.0,0.0
mmlu-pro,eb_predictable,0.05,3000,0.14046564716312057,0.02709441489361702,2,0.0006666666666666666,0.0
mmlu-pro,fixed_plugin_0.1,0.02,3000,0.10006648936170214,0.10006648936170212,120,0.04,0.0
mmlu-pro,fixed_plugin_0.25,0.02,3000,0.25,0.25,70,0.023333333333333334,0.0
mmlu-pro,fixed_plugin_0.5,0.02,3000,0.5,0.5,45,0.015,0.0
mmlu-pro,hoeffding_grid,0.01,3000,0.20808419215425533,0.05003324468085106,0,0.0,0.0
mmlu-pro,hoeffding_grid,0.02,3000,0.2266914616578014,0.05539394946808511,0,0.0,0.0
mmlu-pro,hoeffding_grid,0.05,3000,0.24006804078014185,0.0836934840425532,0,0.0,0.0
mmlu-pro,normal_peeking,0.01,3000,0.04670766843971631,0.0031582446808510636,115,0.03833333333333333,0.001
mmlu-pro,normal_peeking,0.02,3000,0.04266162455673759,0.003324468085106383,121,0.04033333333333333,0.0003333333333333333
mmlu-pro,normal_peeking,0.05,3000,0.0365985427748227,0.004986702127659575,100,0.03333333333333333,0.0003333333333333333
mmlu-pro,separate_arm,0.02,3000,0.22723961103723403,0.05743018617021277,0,0.0,0.0
mmlu-pro,serfling_spending,0.01,3000,0.23804507424645388,0.08194813829787234,0,0.0,0.0
mmlu-pro,serfling_spending,0.02,3000,0.26147010749113475,0.08194813829787234,0,0.0,0.0
mmlu-pro,serfling_spending,0.05,3000,0.3023271830673759,0.12283909574468085,0,0.0,0.0
